filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	date
EPH-PT-1-77-002.jpg	275	187	68.5699	39	61.5989	104	56.8683	1985.00
EPH-PT-1-78-001.jpg	276	185	69.6967	42	65.9296	108	53.9465	1985.00
EPH-PT-1-78-002.jpg	277	186	66.9994	36	66.1126	107	55.3562	1985.00
EPH-PT-1-79-001.jpg	278	230	75.2766	10	30.9351	35	60.2931	1985.00
EPH-PT-1-79-002.jpg	279	231	74.421	10	30.633	35	59.7516	1985.00
EPH-PT-1-8-001.jpg	280	86	82.3473	47	58.5757	47	73.5021	1985.00
EPH-PT-1-8-002.jpg	281	107	82.513	48	59.2986	49	70.7803	1985.00
EPH-PT-1-80-001.jpg	282	229	74.5975	6	27.0984	35	67.7672	1985.00
EPH-PT-1-80-002.jpg	283	230	70.8218	6	27.2239	35	66.609	1985.00
EPH-PT-1-81-001.jpg	284	123	78.9956	51	58.7038	125	52.3855	1985.00
EPH-PT-1-81-002.jpg	285	232	93.738	5	17.663	51	61.6086	1985.00
EPH-PT-1-81-003.jpg	286	127	78.4941	47	58.8667	125	52.3518	1985.00
EPH-PT-1-82-001.jpg	287	121	78.1362	51	63.2174	127	51.3913	1985.00
EPH-PT-1-82-002.jpg	288	232	93.8097	6	17.8787	49	61.7198	1985.00
EPH-PT-1-82-003.jpg	289	125	77.986	48	63.6432	127	50.9632	1985.00
EPH-PT-1-83-001.jpg	290	221	80.8905	24	49.8909	31	62.9934	1985.00
EPH-PT-1-83-002.jpg	291	220	76.5447	23	50.5166	31	62.296	1985.00
EPH-PT-1-84-001.jpg	292	219	81.1793	25	56.3908	35	70.1244	1985.00
EPH-PT-1-84-002.jpg	293	220	77.6658	24	56.837	35	69.6644	1985.00
EPH-PT-1-85-001.jpg	294	219	81.6516	27	52.4623	35	72.5136	1985.00
EPH-PT-1-85-002.jpg	295	222	78.1209	25	53.0137	35	69.9975	1985.00
EPH-PT-1-86-001.jpg	296	220	81.105	26	53.687	35	73.1486	1985.00
EPH-PT-1-86-002.jpg	297	220	77.1455	24	54.1829	35	73.0146	1985.00
EPH-PT-1-87-001.jpg	298	220	79.5928	14	30.4329	35	63.3471	1985.00
EPH-PT-1-87-002.jpg	299	222	75.972	12	30.9414	35	62.9778	1985.00
EPH-PT-1-88-001.jpg	300	221	79.9658	12	29.0514	35	64.1044	1985.00
EPH-PT-1-88-002.jpg	301	221	76.2221	11	29.646	35	63.4242	1985.00
EPH-PT-1-89-001.jpg	302	221	80.5494	15	28.6888	35	63.2954	1985.00
